Name,Type,Start Time,Elapsed Time,Start Direction,End Direction
0,False,0,13.199999999999969,West,East
1,False,1.3,13.899999999999961,East,West
3,False,3.4000000000000017,13.799999999999972,South,North
2,True,2.600000000000001,19.700000000000045,North,West
4,False,11.299999999999976,13.200000000000102,West,East
5,True,12.099999999999973,15.400000000000148,East,West
6,True,13.899999999999967,16.600000000000197,South,North
7,True,14.499999999999964,19.00000000000024,North,South
8,False,22.800000000000054,13.200000000000188,East,West
9,True,23.30000000000006,15.700000000000223,West,East
10,False,24.60000000000008,16.400000000000233,North,South
11,True,24.900000000000084,21.2000000000003,South,East
12,False,33.3000000000002,16.80000000000024,East,South
13,False,36.70000000000025,15.400000000000219,West,East
14,True,40.1000000000003,17.200000000000244,South,West
15,True,41.70000000000032,18.600000000000264,North,South
16,False,47.1000000000004,15.200000000000216,East,West
17,True,48.10000000000041,17.200000000000152,West,East
18,False,51.000000000000455,16.299999999999997,South,North
19,True,54.90000000000051,17.499999999999652,North,West
20,False,58.90000000000057,15.499999999999481,West,East
21,False,60.30000000000059,16.099999999999348,East,West
22,True,64.90000000000059,17.199999999999022,South,West
23,True,67.30000000000045,17.799999999998988,North,South
24,False,72.20000000000017,16.89999999999904,West,South
25,True,72.40000000000016,21.79999999999876,East,South
26,True,78.39999999999982,20.899999999998812,South,West
27,False,81.69999999999963,19.599999999998886,North,South
28,False,84.19999999999949,21.0999999999988,West,South
29,True,87.4999999999993,20.799999999998818,East,West
30,True,88.69999999999924,24.699999999998596,South,West
31,True,94.09999999999893,22.299999999998732,North,South
32,True,95.09999999999887,24.29999999999862,West,East
33,True,98.0999999999987,26.3999999999985,East,South
34,False,99.49999999999862,28.999999999998366,South,East
35,True,104.19999999999835,27.299999999998462,North,South
36,False,105.99999999999825,29.499999999998337,West,North
37,True,108.29999999999812,30.199999999998298,East,West
38,False,113.19999999999784,27.299999999998462,South,North
39,False,114.39999999999777,28.099999999998417,North,South
40,True,119.09999999999751,28.499999999998394,West,North
41,True,120.69999999999742,29.899999999998315,East,West
42,False,125.79999999999713,26.79999999999849,South,North
43,False,126.89999999999706,29.699999999998326,North,West
44,True,131.5999999999968,30.09999999999829,West,North
45,True,132.79999999999674,33.99999999999807,East,North
46,False,136.39999999999654,32.39999999999816,South,North
47,False,137.59999999999647,33.19999999999811,North,South
49,True,144.59999999999607,29.19999999999834,West,East
48,True,143.59999999999613,33.19999999999811,East,West
50,True,146.59999999999596,35.29999999999799,South,West
51,True,148.89999999999583,35.999999999997954,North,South
53,False,155.59999999999545,31.29999999999822,West,East
52,False,154.4999999999955,34.399999999998045,East,West
54,False,157.89999999999532,34.99999999999801,South,East
55,True,160.59999999999516,37.399999999997874,North,West
57,True,166.59999999999482,34.399999999998045,West,East
56,False,165.3999999999949,37.59999999999786,East,West
59,True,172.1999999999945,33.79999999999808,South,North
58,True,172.0999999999945,36.8999999999979,North,South
63,False,184.09999999999383,26.89999999999847,West,East
60,False,176.19999999999428,36.79999999999791,East,West
61,False,182.39999999999392,34.59999999999803,South,West
62,False,182.7999999999939,36.19999999999794,North,South
64,True,190.09999999999349,31.899999999998187,East,West
67,True,200.89999999999287,26.19999999999851,West,South
65,True,192.49999999999335,39.69999999999774,South,East
66,True,198.699999999993,38.599999999997806,North,West
69,True,202.89999999999276,37.399999999997874,East,West
71,False,211.1999999999923,31.099999999998232,West,East
68,True,202.79999999999276,42.499999999997584,South,North
70,True,208.89999999999242,39.39999999999776,North,South
72,True,215.29999999999205,38.099999999997834,East,North
76,False,228.19999999999132,27.199999999998454,West,East
73,True,218.49999999999187,41.99999999999886,South,East
74,True,219.19999999999183,46.40000000000006,North,East
75,False,225.49999999999147,44.10000000000133,East,South
77,True,229.59999999999124,43.000000000002245,South,North
82,True,244.69999999999038,30.900000000003786,West,East
78,True,231.49999999999113,49.200000000004195,North,West
79,True,237.79999999999077,45.900000000005235,East,West
80,True,240.49999999999062,46.20000000000607,South,North
85,True,255.29999999998978,34.400000000007594,West,East
81,True,244.3999999999904,48.30000000000766,North,South
83,False,247.8999999999902,46.80000000000831,East,West
84,True,250.59999999999005,47.100000000009146,South,North
89,False,267.19999999999226,34.500000000007844,West,North
86,False,256.69999999998987,49.00000000001114,North,East
87,True,257.99999999999017,52.800000000012005,East,North
88,True,260.99999999999085,52.800000000012005,South,North
93,False,277.29999999999455,38.500000000008754,West,East
90,False,268.09999999999246,51.700000000011755,North,East
91,True,269.6999999999928,55.20000000001255,East,North
92,True,274.899999999994,53.00000000001205,South,North
97,False,289.19999999999726,42.70000000000971,West,North
94,False,278.8999999999949,55.000000000012506,North,South
95,False,279.99999999999517,55.90000000001271,East,West
96,True,285.59999999999644,55.4000000000126,South,East
98,True,290.09999999999746,53.900000000012255,North,South
99,True,296.799999999999,50.200000000011414,South,North
