Name,Type,Start Time,Elapsed Time,Start Direction,End Direction
0,True,0,17.199999999999974,North,East
1,True,0,20.200000000000017,South,North
2,True,0.2,25.10000000000009,West,South
3,True,0.8999999999999999,27.400000000000134,East,West
5,False,11.099999999999977,19.200000000000184,West,East
4,True,10.19999999999998,23.10000000000022,North,South
6,False,13.799999999999967,23.50000000000029,South,East
7,True,16.599999999999966,23.700000000000337,East,West
8,True,20.600000000000023,22.700000000000323,North,South
9,False,24.300000000000075,21.0000000000003,South,North
10,False,25.100000000000087,22.200000000000315,West,East
11,True,27.800000000000125,24.60000000000035,East,South
12,True,34.40000000000022,21.0000000000003,North,South
13,True,35.20000000000023,23.20000000000033,West,East
14,True,35.600000000000236,27.900000000000396,South,West
15,True,41.30000000000032,25.20000000000018,East,West
16,False,45.400000000000375,23.10000000000001,West,East
18,False,47.0000000000004,23.499999999999872,North,South
17,True,46.800000000000395,26.699999999999704,South,North
19,False,57.400000000000546,18.09999999999944,East,West
20,True,59.20000000000057,19.299999999999244,South,North
21,True,60.50000000000059,20.999999999999055,West,East
22,False,61.70000000000061,21.799999999998924,North,South
23,True,67.90000000000042,20.699999999998823,East,South
24,False,69.70000000000032,22.8999999999987,South,East
26,False,73.00000000000013,21.599999999998772,West,East
25,True,72.10000000000018,27.59999999999843,North,East
27,False,79.79999999999974,21.899999999998755,South,North
28,False,83.39999999999954,20.299999999998846,West,East
29,False,83.69999999999952,23.999999999998636,North,West
30,False,86.89999999999934,22.799999999998704,East,West
31,False,90.89999999999911,20.799999999998818,South,North
32,False,94.09999999999893,19.599999999998886,North,South
33,False,96.79999999999878,18.899999999998926,West,East
34,False,98.99999999999865,20.699999999998823,East,North
35,True,102.19999999999847,20.499999999998835,South,North
36,True,108.99999999999808,16.69999999999905,West,East
37,False,109.99999999999802,19.699999999998894,East,North
38,True,111.29999999999795,23.49999999999868,North,East
39,False,114.39999999999777,22.39999999999874,South,North
40,False,121.29999999999738,17.49999999999902,West,East
41,True,122.7999999999973,18.999999999998934,North,South
43,False,124.4999999999972,19.299999999998917,South,North
42,True,124.19999999999722,22.59999999999873,East,West
44,True,132.79999999999674,16.999999999999034,West,East
45,True,134.09999999999667,18.699999999998937,North,South
46,True,136.59999999999653,19.19999999999891,East,West
47,True,138.8999999999964,21.99999999999875,South,East
48,False,144.1999999999961,18.699999999998937,North,South
49,False,147.29999999999592,17.599999999999,West,East
50,False,147.89999999999588,18.99999999999892,East,West
51,True,149.2999999999958,20.59999999999883,South,North
52,False,155.29999999999546,16.599999999999056,North,South
54,False,159.09999999999525,14.799999999999159,East,West
53,True,158.1999999999953,18.699999999998937,West,East
55,False,161.6999999999951,17.199999999999022,South,North
56,False,167.49999999999477,15.399999999999125,North,East
57,False,170.3999999999946,16.499999999999062,West,South
58,False,170.79999999999458,18.09999999999897,East,West
59,True,173.49999999999443,18.399999999998954,South,North
60,False,181.099999999994,13.19999999999925,East,West
61,False,181.099999999994,15.199999999999136,West,East
62,False,181.49999999999397,16.799999999999045,North,South
63,False,185.59999999999374,14.699999999999164,South,North
64,False,191.19999999999342,15.199999999999136,East,South
65,False,193.79999999999328,16.599999999999056,North,West
66,False,196.29999999999313,16.099999999999085,South,North
67,True,196.7999999999931,18.599999999998943,West,East
68,False,204.29999999999268,13.19999999999925,North,South
69,True,204.69999999999266,17.899999999998983,East,North
70,False,206.69999999999254,17.899999999998983,South,North
71,False,209.3999999999924,17.199999999999022,West,East
72,True,215.49999999999204,17.199999999999022,North,East
73,True,217.59999999999192,18.09999999999897,South,North
74,True,219.8999999999918,18.79999999999893,East,West
75,True,220.59999999999175,23.19999999999868,West,North
76,False,226.09999999999144,21.699999999998766,North,West
77,False,232.0999999999911,17.699999999998994,West,East
78,False,232.69999999999106,21.0999999999988,East,North
79,True,234.09999999999098,24.799999999999386,South,West
80,True,237.4999999999908,24.40000000000026,North,South
81,False,243.69999999999044,22.200000000001523,East,North
82,False,243.69999999999044,26.200000000002433,West,North
83,True,247.09999999999025,25.80000000000331,South,North
84,True,251.89999999998997,24.000000000004263,North,South
85,True,254.29999999998984,26.70000000000556,East,North
86,True,256.3999999999898,27.600000000006276,West,East
87,False,261.89999999999105,24.10000000000548,South,North
88,True,264.6999999999917,26.400000000006003,East,South
89,False,266.3999999999921,26.70000000000607,North,South
90,True,270.9999999999931,27.200000000006185,West,North
91,True,271.99999999999335,31.300000000007117,South,East
92,False,275.49999999999415,29.800000000006776,East,West
93,False,278.3999999999948,28.90000000000657,North,South
94,True,282.09999999999565,30.30000000000689,West,North
96,False,286.89999999999674,29.500000000006708,South,West
95,False,286.2999999999966,32.1000000000073,East,West
97,True,289.99999999999744,31.40000000000714,North,South
99,True,296.799999999999,29.700000000006753,West,North
100,True,296.99999999999903,34.60000000000787,South,West
98,False,296.59999999999894,37.00000000000841,East,West
101,False,300.8999999999999,34.70000000000789,North,South
103,False,308.00000000000153,29.60000000000673,West,East
102,False,307.10000000000133,34.500000000007844,South,East
104,True,309.30000000000183,35.300000000008026,East,West
105,True,311.7000000000024,35.90000000000816,North,South
106,True,318.10000000000383,34.60000000000787,West,North
107,False,320.2000000000043,34.500000000007844,South,North
108,True,320.80000000000445,39.00000000000887,East,North
109,False,321.8000000000047,40.000000000009095,North,South
112,False,331.1000000000068,32.700000000007435,West,East
110,False,330.4000000000066,35.40000000000805,South,North
111,False,331.00000000000676,38.80000000000882,East,North
113,True,332.000000000007,42.900000000009754,North,West
116,True,343.1000000000095,36.90000000000839,West,North
114,False,341.8000000000092,40.20000000000914,South,North
